user_id,room_index,room_recommendation_score,group_compatibility_score,final_co_living_score,action,interaction_value,booking_success,stay_duration_days,timestamp
U00137,444,0.7374,0.9087,0.8059,view_detail,0.5,0,0,44:58.8
U00006,1762,0.3333,0.3399,0.3359,impression,0.1,0,0,03:40.7
U00663,2014,0.5683,0.6289,0.5925,click,0.3,0,0,05:09.7
U00328,194,0.7217,0.8644,0.7788,apply,0.9,0,0,08:32.7
U00499,347,0.9412,0.7594,0.8685,save,0.7,0,0,21:39.8
U00002,852,0.7266,0.6671,0.7028,click,0.3,0,0,27:50.7
U00832,484,0.7974,0.506,0.6808,save,0.7,0,0,28:15.8
U00994,2498,0.9834,0.5956,0.8283,save,0.7,0,0,33:35.8
U00466,1999,0.62,0.8376,0.707,save,0.7,0,0,38:08.7
U00007,689,0.8927,0.6048,0.7775,view_detail,0.5,0,0,46:17.7
U00559,1271,0.9386,0.7668,0.8699,apply,0.9,0,0,49:55.8
U00154,469,0.84,0.3418,0.6407,click,0.3,0,0,07:59.8
U00760,2770,0.8017,0.483,0.6742,view_detail,0.5,0,0,08:52.8
U00570,80,0.9143,0.5834,0.7819,save,0.7,0,0,33:32.8
U00509,1277,0.7272,0.6275,0.6873,click,0.3,0,0,18:09.8
U00492,28,0.6386,0.7586,0.6866,view_detail,0.5,0,0,21:06.7
U00976,703,0.8281,0.6062,0.7393,save,0.7,0,0,21:48.8
U00643,2035,0.6207,0.5031,0.5737,click,0.3,0,0,40:22.7
U00573,1898,0.8913,0.28,0.6468,save,0.7,0,0,51:08.7
U00741,89,0.4518,0.7206,0.5593,save,0.7,0,0,10:40.6
U00079,637,0.9309,0.6041,0.8002,view_detail,0.5,0,0,57:58.7
U00367,1636,0.9767,0.6794,0.8578,chat_host,0.8,0,0,09:29.8
U00010,1018,0.6765,0.2794,0.5177,impression,0.1,0,0,30:03.8
U00027,180,0.4938,0.6745,0.5661,view_detail,0.5,0,0,45:27.7
U00606,2439,0.863,0.5122,0.7227,save,0.7,0,0,10:52.8
U00349,2079,0.8144,0.3634,0.634,save,0.7,0,0,32:32.6
U00991,2500,0.6402,0.6736,0.6536,view_detail,0.5,0,0,56:48.8
U00878,45,0.6515,0.3668,0.5376,view_detail,0.5,0,0,17:33.7
U00583,1232,0.8011,0.5508,0.701,save,0.7,0,0,18:29.6
U00603,961,0.8394,0.6892,0.7793,book,1,1,88,31:15.8
U00178,2602,0.8603,0.665,0.7822,save,0.7,0,0,34:24.7
U00151,587,0.2768,0.9283,0.5374,impression,0.1,0,0,01:00.7
U00709,872,0.5694,0.6069,0.5844,save,0.7,0,0,11:50.8
