user_id,lifestyle_archetype,preferred_location_district_id,max_distance_to_work_km,budget_min_vnd,budget_max_vnd,preferred_room_type,preferred_gender,accept_smoking_roommates,accept_pets,need_private_bathroom,need_air_conditioner,need_parking,need_balcony,need_kitchen,internet_requirement,furniture_requirement,max_roommates,preferred_contract_months,priority_cleanliness,priority_location,priority_budget,priority_privacy,priority_social_environment
U00001,Privacy Seeker,TX,1.5,1344919,4282225,studio,female,0,1,0,0,1,0,0,medium,standard,2,3,4,4,2,5,1
U00002,Young Professional,D1,10.4,6888440,11235462,studio,female,1,0,1,1,0,0,1,high,fully_furnished,2,6,3,4,3,4,2
U00003,Student,GV,10.8,2436365,4574349,studio,any,1,1,1,0,0,0,0,high,minimal,5,6,2,2,3,1,4
U00004,Student,TB,15.5,2220935,7092941,apartment,male,1,1,0,0,1,0,0,high,standard,3,24,2,4,3,2,4
U00005,Student,GV,9.3,1121384,5828717,studio,male,0,0,1,0,0,0,0,medium,minimal,6,3,2,1,3,1,4
U00006,Young Professional,D3,16.4,5166144,8063238,studio,any,0,0,0,0,1,0,1,medium,fully_furnished,6,6,3,1,5,3,2
U00007,Young Professional,D1,18.5,3302338,8074273,apartment,female,1,1,1,1,0,0,1,high,standard,5,24,3,4,5,3,2
U00008,Remote Worker,D2,15.2,7257466,10833813,studio,any,0,0,0,1,0,1,0,high,standard,4,6,3,5,4,3,2
U00009,Student,TD,17.2,1058479,2450150,shared_room,female,0,1,0,0,1,0,0,medium,minimal,6,6,2,3,5,1,3
U00010,Young Professional,D1,15.9,3932930,6894624,shared_room,male,0,1,0,0,1,0,1,basic,standard,5,3,3,4,5,3,3
U00011,Student,GV,17.3,3306285,6443022,shared_room,male,1,1,0,0,0,0,1,high,standard,5,6,1,2,2,1,4
U00012,Student,GV,7.2,1563870,4589813,shared_room,male,0,1,0,0,0,0,0,high,minimal,4,6,1,2,3,1,4
U00013,Student,TD,14.6,1019382,5968588,shared_room,any,1,1,0,0,1,0,1,medium,minimal,6,6,2,4,3,2,4
U00014,Student,TD,1.7,2735315,6832268,shared_room,male,0,1,1,1,0,0,1,high,standard,3,3,2,4,1,1,3
U00015,Remote Worker,D7,6.8,11169649,13377707,studio,any,0,0,1,1,1,1,1,high,standard,2,6,3,2,2,4,1
U00016,Student,TB,12.2,3352274,7874261,apartment,any,1,0,0,0,1,0,0,high,minimal,5,12,2,5,1,2,3
U00017,Privacy Seeker,TB,9.8,2193235,6345005,shared_room,female,1,0,1,1,1,0,0,medium,standard,1,12,3,4,1,5,1
U00018,Young Professional,D3,2.8,3848934,5157829,shared_room,female,1,1,1,1,0,0,1,medium,minimal,6,3,4,5,4,3,2
U00019,Young Professional,D3,3.7,5792690,7680057,apartment,male,1,1,0,0,1,0,0,medium,minimal,4,6,3,5,3,3,2
U00020,Student,GV,18.1,1904879,5396433,studio,male,1,0,0,0,0,0,0,high,minimal,6,12,2,2,3,2,4
U00021,Young Professional,PN,4.5,3056777,7371481,studio,male,1,1,0,0,0,0,0,medium,minimal,3,3,3,4,4,3,3
U00022,Social Butterfly,HK,7.5,4608888,8218693,apartment,female,0,1,0,1,0,1,0,basic,standard,6,12,2,3,3,1,4
U00023,Student,GV,8.6,2325660,7058320,apartment,male,1,0,1,0,1,0,0,medium,standard,5,12,2,3,2,2,4
U00024,Remote Worker,D2,10.2,11737418,15447774,apartment,male,0,1,0,0,0,1,1,high,minimal,2,12,4,3,1,5,2
U00025,Privacy Seeker,CG,14.8,1254180,5457742,shared_room,male,1,0,0,1,1,0,0,medium,fully_furnished,2,12,4,3,1,5,2
U00026,Privacy Seeker,TD,3.5,3868911,5724350,studio,male,0,0,0,0,1,0,0,high,minimal,1,3,3,1,4,4,2
U00027,Student,TD,4.9,2439024,5631144,studio,male,0,0,0,0,1,0,0,medium,minimal,3,6,3,2,1,1,4
U00028,Social Butterfly,D1,14.5,6337137,7502408,studio,any,0,1,0,0,1,0,0,high,minimal,6,12,2,2,5,1,5
U00029,Student,TD,8.3,3323454,6888440,studio,female,1,0,0,0,1,0,0,medium,minimal,4,3,2,4,4,2,4
U00030,Young Professional,D1,4.5,4865724,7402600,studio,any,0,0,0,0,1,0,0,high,fully_furnished,4,3,3,5,3,3,3
U00031,Remote Worker,D7,9.3,7302914,9186567,apartment,male,1,0,0,1,0,0,1,high,standard,1,12,4,1,5,4,1
U00032,Young Professional,D3,16.0,4606446,9400620,studio,any,0,1,1,1,0,1,1,high,standard,6,3,3,2,2,3,2
U00033,Young Professional,D3,12.2,5852757,9881464,apartment,any,0,0,0,1,1,1,1,medium,standard,3,6,3,1,3,3,3
U00034,Young Professional,D1,13.0,3991473,7602166,studio,male,0,1,1,0,1,0,0,basic,minimal,1,6,3,4,2,4,2
U00035,Student,TD,6.8,2523202,5086612,studio,male,1,1,0,0,1,0,0,medium,minimal,3,12,2,3,1,2,5
U00036,Young Professional,D1,3.7,6664912,9645116,studio,any,1,0,1,1,0,1,1,high,minimal,1,6,3,4,5,4,3
U00037,Young Professional,D3,11.2,5923436,7513105,studio,male,0,1,1,0,0,0,0,high,minimal,1,6,3,3,1,4,2
U00038,Young Professional,D1,5.1,5053576,9745886,studio,any,0,1,0,1,1,1,1,high,minimal,3,3,3,4,1,3,3
U00039,Young Professional,PN,7.4,5998880,8345596,apartment,female,1,1,0,1,0,0,1,high,fully_furnished,5,24,4,4,1,3,3
U00040,Social Butterfly,D1,3.1,3940472,6758909,studio,any,0,0,0,0,0,0,0,high,minimal,5,6,2,5,2,1,4
U00041,Student,TB,18.0,2687742,7446667,studio,male,0,1,0,0,0,0,0,medium,minimal,6,12,2,2,2,2,4
U00042,Student,GV,14.2,3014156,7271276,apartment,any,1,1,1,0,0,0,0,high,standard,4,24,2,3,2,2,3
U00043,Young Professional,D3,7.9,4694075,9380612,apartment,male,1,1,0,1,1,0,1,basic,standard,5,24,3,4,1,3,3
U00044,Young Professional,PN,12.7,5924549,8566617,apartment,any,0,0,0,1,0,0,1,basic,fully_furnished,6,6,3,4,2,3,2
U00045,Student,TD,4.4,1337661,5322420,studio,male,0,0,1,0,0,0,0,high,standard,3,6,1,4,4,1,4
U00046,Social Butterfly,D3,1.5,5430879,6588098,studio,any,1,0,1,0,1,0,0,high,minimal,6,6,3,4,4,1,4
U00047,Student,TD,3.3,3445068,6483782,studio,any,0,0,1,0,0,0,0,medium,minimal,5,12,2,5,4,1,3
U00048,Young Professional,D3,9.6,6258722,8245133,studio,any,1,1,0,0,0,1,1,medium,standard,6,3,4,1,4,3,2
U00049,Young Professional,PN,1.8,6053087,10399742,studio,male,0,0,1,1,0,1,1,high,standard,3,12,3,3,5,2,3
U00050,Young Professional,D3,13.7,4059912,7054851,studio,male,1,1,0,0,0,0,0,medium,standard,5,3,3,4,3,3,3
U00051,Student,GV,7.2,1622690,3170013,shared_room,female,0,1,0,0,0,0,0,medium,minimal,6,12,2,4,4,2,4
U00052,Privacy Seeker,CG,18.5,1902685,4706297,studio,any,1,0,0,0,1,0,0,high,standard,2,3,3,5,3,4,2
U00053,Social Butterfly,D3,2.1,5508673,7113896,apartment,male,0,0,1,0,0,0,0,medium,minimal,4,12,2,1,5,1,5
U00054,Privacy Seeker,TB,19.9,2556086,6152183,studio,female,0,1,1,0,1,0,0,medium,minimal,1,3,4,2,5,5,1
U00055,Social Butterfly,D1,6.3,4467351,8267002,apartment,female,0,0,0,1,1,1,1,medium,fully_furnished,4,6,2,1,3,1,5
U00056,Privacy Seeker,CG,19.8,2419426,7370669,apartment,male,0,0,0,0,1,0,0,medium,standard,1,24,4,1,2,4,1
U00057,Young Professional,D1,12.5,5570957,10419144,apartment,any,0,0,0,0,1,1,1,medium,standard,3,12,3,3,2,2,3
U00058,Young Professional,D1,6.1,5596967,7901654,studio,any,1,0,0,0,1,0,0,high,minimal,6,12,2,1,3,3,1
U00059,Student,TD,13.4,3014071,7612572,apartment,any,1,1,0,0,1,0,0,high,standard,6,12,2,3,1,2,5
U00060,Remote Worker,BT,14.4,10299236,12571430,studio,female,0,0,0,1,1,1,1,high,minimal,6,12,4,2,5,3,2
U00061,Social Butterfly,D1,13.9,7732935,11996188,studio,any,1,1,0,1,0,0,1,medium,fully_furnished,6,3,3,3,1,1,5
U00062,Student,TB,1.4,1697688,4253245,shared_room,female,0,1,1,0,1,0,0,basic,minimal,5,6,2,3,3,2,3
U00063,Young Professional,PN,4.9,7261500,10900534,apartment,any,0,0,0,0,1,1,1,high,fully_furnished,5,12,4,4,4,3,3
U00064,Young Professional,D1,11.4,3649976,7229389,studio,female,0,1,1,0,1,0,0,medium,fully_furnished,3,6,3,1,3,3,3
U00065,Privacy Seeker,TD,3.4,1103628,2872683,shared_room,any,0,1,0,0,0,0,0,medium,standard,2,3,3,3,3,4,1
U00066,Remote Worker,BT,9.3,11561842,13749279,studio,female,1,1,1,1,1,0,1,high,minimal,2,12,3,1,2,5,3
U00067,Social Butterfly,HK,12.7,7468128,8606303,studio,female,0,1,0,0,1,1,1,high,standard,5,3,2,2,3,1,5
U00068,Remote Worker,D7,4.0,7611746,10402114,studio,female,0,1,1,1,0,0,1,high,fully_furnished,2,6,4,5,5,4,1
U00069,Remote Worker,D7,5.6,11932848,14928789,studio,female,1,0,0,1,1,1,1,high,standard,1,6,3,2,5,5,1
U00070,Young Professional,D3,3.6,5952328,8410977,apartment,any,1,0,0,1,0,0,1,high,standard,3,6,3,2,2,3,2
U00071,Young Professional,D1,9.4,5808048,10474361,apartment,any,1,1,0,1,1,1,1,high,standard,4,6,2,1,1,3,2
U00072,Privacy Seeker,TB,9.3,1102287,4850542,shared_room,any,1,1,1,0,1,0,0,medium,minimal,2,6,4,2,5,5,1
U00073,Privacy Seeker,TD,6.0,2231522,6268924,shared_room,female,1,0,1,0,0,0,1,basic,standard,2,12,3,1,4,4,2
U00074,Student,TB,8.4,2241457,4441292,shared_room,any,0,1,1,0,1,0,0,medium,standard,5,12,2,4,4,2,4
U00075,Privacy Seeker,TX,4.6,3350761,4751435,studio,male,1,0,1,0,0,0,0,medium,minimal,2,12,4,2,5,5,1
U00076,Social Butterfly,D1,6.5,3786797,6275655,studio,female,1,1,0,0,0,0,0,high,minimal,6,12,2,4,3,1,5
U00077,Student,TB,9.3,3374717,7630596,apartment,any,1,0,1,0,1,0,0,medium,minimal,5,24,2,2,4,2,4
U00078,Remote Worker,BT,12.2,7703831,11135891,studio,female,0,0,0,0,1,1,1,high,minimal,6,3,4,4,5,3,2
U00079,Student,TD,15.8,2941799,6706082,studio,any,1,1,0,0,1,0,0,medium,standard,6,3,1,1,2,1,4
U00080,Privacy Seeker,TD,7.4,3046367,4162950,studio,male,1,1,1,0,0,0,0,medium,minimal,1,6,3,5,3,4,1
U00081,Young Professional,D1,6.7,3688954,7683544,apartment,female,1,1,0,0,1,0,0,basic,minimal,6,24,2,2,3,3,3
U00082,Social Butterfly,D3,10.7,7746696,11858094,studio,any,1,1,0,1,1,0,1,medium,standard,5,3,3,1,2,1,4
U00083,Young Professional,D3,7.0,4409341,8519894,apartment,any,1,1,1,1,0,1,1,high,minimal,6,6,3,1,1,3,3
U00084,Young Professional,D3,1.4,4200989,8950533,apartment,female,0,1,1,1,0,0,1,high,fully_furnished,4,24,3,4,4,3,3
U00085,Privacy Seeker,TX,15.1,1325272,2524180,shared_room,female,0,1,1,0,1,0,0,medium,standard,2,3,4,1,3,4,1
U00086,Young Professional,PN,9.5,3603226,5607800,studio,any,0,0,0,0,0,0,0,basic,minimal,3,3,3,4,1,3,2
U00087,Student,TD,8.4,1521997,6230772,shared_room,male,1,1,0,0,1,0,1,medium,minimal,4,6,2,3,5,1,3
U00088,Young Professional,D1,3.5,4400749,5892352,shared_room,female,0,1,0,0,1,0,0,basic,minimal,3,6,4,5,1,3,2
U00089,Student,TB,11.1,3258160,6264435,shared_room,any,0,1,0,1,0,0,0,basic,standard,3,3,2,1,5,1,4
