roomId,roomType,districtId,preferredGender,allowSmoking,allowPets,cleanlinessRequired,noiseTolerance,guestPolicy,preferredSleepHabit,preferredOccupation,curfewPolicy,maxOccupants,minimumBudget
R00001,private_room,CC,female,outside_only,allowed,medium,medium,rarely,late,student,none,1,1674863
R00002,private_room,Q7,female,not_allowed,small_pets_only,medium,high,frequently,normal,student,none,1,8211207
R00003,shared_room,Q7,male,not_allowed,not_allowed,high,medium,rarely,early,student,before_midnight,3,2077712
R00004,private_room,Q7,female,not_allowed,allowed,low,medium,occasionally,normal,student,none,1,2524753
R00005,private_room,HL,male,not_allowed,not_allowed,medium,medium,occasionally,normal,student,none,1,4325051
R00006,shared_room,SS,female,not_allowed,allowed,high,medium,rarely,normal,student,before_11pm,3,454178
R00007,studio,HBT,any,allowed,allowed,high,high,occasionally,normal,student,before_midnight,2,6169693
R00008,shared_room,Q7,any,not_allowed,small_pets_only,medium,medium,occasionally,normal,student,none,4,2351206
R00009,private_room,CC,female,not_allowed,not_allowed,high,low,occasionally,normal,office_worker,none,1,3677860
R00010,private_room,NB,male,not_allowed,not_allowed,medium,high,rarely,late,student,before_midnight,1,5545784
R00011,shared_room,BC,any,not_allowed,not_allowed,high,low,occasionally,normal,student,before_midnight,3,605011
R00012,shared_room,SS,female,not_allowed,not_allowed,medium,medium,rarely,normal,student,before_midnight,2,590201
R00013,studio,BD,any,outside_only,cats_only,low,medium,frequently,late,any,before_midnight,1,11637373
R00014,shared_room,Q4,male,outside_only,not_allowed,high,low,rarely,early,student,none,4,1116332
R00015,studio,Q4,any,outside_only,not_allowed,medium,medium,frequently,late,any,before_11pm,1,8871043
R00016,private_room,TX,male,not_allowed,not_allowed,high,low,rarely,normal,student,before_midnight,1,6083697
R00017,shared_room,TTR,any,not_allowed,not_allowed,high,low,rarely,normal,student,before_midnight,2,513281
R00018,private_room,BT,male,not_allowed,not_allowed,low,high,frequently,late,student,none,1,3459832
R00019,shared_room,Q12,any,not_allowed,allowed,medium,low,rarely,normal,any,none,4,614831
R00020,private_room,BT,female,not_allowed,not_allowed,medium,low,rarely,early,office_worker,none,1,2626575
R00021,shared_room,DA,male,outside_only,not_allowed,high,low,frequently,very_late,student,none,4,754548
R00022,shared_room,HBT,female,outside_only,not_allowed,high,medium,rarely,very_late,student,none,4,1034364
R00023,studio,HK,any,not_allowed,not_allowed,high,high,occasionally,normal,student,before_midnight,2,6891161
R00024,private_room,BTL,male,allowed,not_allowed,high,medium,occasionally,very_early,student,none,1,2720415
R00025,private_room,GL,female,allowed,not_allowed,medium,low,rarely,early,any,before_11pm,1,2138530
R00026,private_room,PN,male,not_allowed,not_allowed,medium,low,rarely,very_late,student,none,1,6012117
R00027,shared_room,CG,male,not_allowed,not_allowed,high,low,rarely,late,student,before_11pm,2,1450913
R00028,private_room,TD,female,outside_only,allowed,high,high,occasionally,normal,student,none,1,4359021
R00029,studio,BD,any,not_allowed,not_allowed,medium,medium,occasionally,normal,office_worker,before_midnight,2,5757999
R00030,private_room,SS,male,allowed,allowed,medium,medium,occasionally,normal,student,none,1,3812707
R00031,private_room,LB,female,not_allowed,small_pets_only,medium,low,occasionally,very_late,any,before_midnight,1,2262381
R00032,shared_room,BD,any,not_allowed,allowed,medium,medium,rarely,normal,student,before_midnight,4,1330122
R00033,shared_room,GL,male,not_allowed,allowed,medium,medium,occasionally,late,student,none,2,1208723
R00034,shared_room,BT,male,not_allowed,small_pets_only,medium,low,rarely,early,office_worker,before_11pm,2,2182416
R00035,private_room,CG,male,allowed,allowed,medium,low,rarely,late,any,before_midnight,1,3709739
R00036,shared_room,LB,any,not_allowed,small_pets_only,high,medium,rarely,normal,student,none,3,1322580
R00037,shared_room,DD,any,not_allowed,cats_only,medium,low,rarely,normal,student,before_11pm,4,2142766
R00038,studio,NTL,any,outside_only,small_pets_only,medium,high,occasionally,late,student,none,1,7636295
R00039,shared_room,Q4,any,not_allowed,small_pets_only,high,medium,rarely,early,student,none,3,1047414
R00040,private_room,BTL,male,outside_only,not_allowed,medium,high,rarely,normal,student,none,1,4843872
R00041,shared_room,CG,male,outside_only,allowed,medium,high,rarely,normal,student,before_11pm,2,969812
R00042,shared_room,TD,female,not_allowed,not_allowed,medium,medium,rarely,early,student,none,4,640461
R00043,private_room,GL,male,outside_only,small_pets_only,medium,low,occasionally,very_early,student,before_midnight,1,3488132
R00044,private_room,GV,male,not_allowed,allowed,medium,low,rarely,very_early,student,before_11pm,1,2751607
R00045,shared_room,HK,male,not_allowed,cats_only,high,medium,rarely,late,student,none,2,2107987
R00046,shared_room,Q10,male,outside_only,not_allowed,medium,medium,frequently,normal,student,before_midnight,4,2126820
R00047,shared_room,TD,any,not_allowed,allowed,high,medium,rarely,early,student,before_midnight,2,872985
R00048,shared_room,PN,male,not_allowed,not_allowed,high,low,rarely,very_early,student,before_midnight,4,1926130
R00049,studio,TP,any,not_allowed,small_pets_only,medium,medium,frequently,late,student,none,2,4920730
R00050,studio,Q8,any,not_allowed,not_allowed,medium,medium,frequently,early,any,none,1,6556811
R00051,private_room,PN,female,allowed,not_allowed,medium,low,rarely,normal,student,before_midnight,1,3826825
R00052,studio,CC,any,not_allowed,not_allowed,high,medium,occasionally,very_early,office_worker,none,1,4521406
R00053,shared_room,HBT,male,not_allowed,not_allowed,high,low,rarely,very_early,any,none,3,2382975
R00054,shared_room,BC,male,not_allowed,not_allowed,high,low,occasionally,normal,student,before_midnight,2,1011936
R00055,shared_room,BT,male,not_allowed,not_allowed,high,high,rarely,early,student,none,2,1687111
R00056,private_room,Q7,male,not_allowed,small_pets_only,medium,medium,rarely,very_early,student,none,1,4113942
R00057,shared_room,Q1,male,not_allowed,small_pets_only,high,low,occasionally,normal,any,none,4,1971602
R00058,studio,Q1,any,allowed,small_pets_only,medium,medium,occasionally,early,student,before_midnight,2,9716228
R00059,shared_room,GV,any,outside_only,allowed,high,medium,rarely,very_early,student,before_midnight,2,782311
R00060,studio,Q6,any,outside_only,allowed,medium,low,rarely,early,student,none,1,6904870
R00061,private_room,CC,female,not_allowed,not_allowed,medium,medium,frequently,early,student,none,1,1600496
R00062,private_room,HK,female,not_allowed,cats_only,high,high,occasionally,normal,student,none,1,7719697
R00063,private_room,BT,male,outside_only,not_allowed,medium,low,rarely,normal,any,none,1,2989377
R00064,shared_room,NB,female,not_allowed,cats_only,high,medium,rarely,normal,student,before_midnight,2,615283
R00065,shared_room,TD,female,not_allowed,not_allowed,medium,low,rarely,early,student,before_midnight,2,1098687
R00066,shared_room,DA,any,not_allowed,not_allowed,medium,low,rarely,normal,student,before_11pm,2,627210
R00067,private_room,PN,female,not_allowed,allowed,low,medium,rarely,normal,any,none,1,3117828
R00068,private_room,DA,male,allowed,not_allowed,medium,high,occasionally,early,student,none,1,4308078
R00069,studio,Q7,any,allowed,allowed,high,medium,rarely,normal,student,before_11pm,1,12473364
R00070,studio,Q3,any,not_allowed,not_allowed,medium,medium,rarely,normal,office_worker,none,1,9291719
R00071,private_room,TB,female,outside_only,not_allowed,medium,medium,occasionally,late,student,before_midnight,1,2772681
R00072,private_room,NB,female,allowed,allowed,medium,medium,rarely,early,office_worker,none,1,4213620
R00073,private_room,GL,female,allowed,not_allowed,medium,low,occasionally,normal,office_worker,none,1,3324937
R00074,private_room,BD,male,not_allowed,allowed,medium,low,rarely,late,student,none,1,6488958
R00075,private_room,Q1,female,allowed,not_allowed,high,low,rarely,very_early,any,before_midnight,1,8126886
R00076,shared_room,TB,any,allowed,cats_only,high,low,occasionally,early,office_worker,before_11pm,4,746050
R00077,shared_room,BTL,female,not_allowed,not_allowed,medium,medium,rarely,normal,student,before_midnight,4,1376451
R00078,private_room,Q12,male,not_allowed,not_allowed,medium,low,frequently,early,office_worker,before_midnight,1,5452948
R00079,shared_room,NTL,any,not_allowed,not_allowed,medium,high,rarely,early,any,none,2,1370750
R00080,shared_room,TP,male,not_allowed,allowed,medium,medium,rarely,normal,student,before_midnight,2,977246
R00081,private_room,HD,any,not_allowed,not_allowed,medium,low,rarely,early,student,before_midnight,1,3271949
R00082,shared_room,GL,male,not_allowed,small_pets_only,high,medium,rarely,early,any,none,4,637168
R00083,studio,Q3,any,outside_only,not_allowed,medium,high,occasionally,late,student,before_midnight,1,11345880
R00084,studio,TD,any,allowed,not_allowed,medium,low,occasionally,early,student,none,2,6960973
R00085,private_room,Q12,male,not_allowed,not_allowed,medium,low,rarely,normal,any,none,1,3051315
R00086,private_room,BT,male,not_allowed,small_pets_only,medium,low,rarely,normal,student,before_midnight,1,6095459
R00087,shared_room,CG,male,not_allowed,cats_only,medium,low,frequently,very_late,student,none,4,1192489
R00088,studio,BTL,any,not_allowed,allowed,high,medium,frequently,normal,student,before_11pm,2,3149632
R00089,shared_room,CG,any,not_allowed,not_allowed,high,medium,occasionally,early,any,before_midnight,2,1346009
R00090,shared_room,HL,any,outside_only,not_allowed,high,low,rarely,normal,student,before_midnight,4,1746438
R00091,shared_room,TD,any,not_allowed,not_allowed,medium,medium,rarely,early,office_worker,none,2,739716
R00092,shared_room,TX,male,not_allowed,not_allowed,high,low,rarely,late,student,none,3,1752648
R00093,shared_room,Q1,female,not_allowed,not_allowed,medium,medium,occasionally,early,student,before_11pm,3,1637415
R00094,shared_room,LB,female,not_allowed,not_allowed,high,low,rarely,early,student,before_midnight,4,1363391
R00095,shared_room,TD,male,not_allowed,small_pets_only,high,medium,occasionally,early,student,none,2,660153
R00096,private_room,TX,female,allowed,not_allowed,medium,low,rarely,early,office_worker,before_11pm,1,2226025
R00097,private_room,TP,female,not_allowed,not_allowed,high,high,occasionally,normal,any,none,1,2402139
R00098,shared_room,TB,male,not_allowed,not_allowed,medium,low,rarely,late,student,none,3,778853
R00099,shared_room,TB,male,not_allowed,not_allowed,high,high,rarely,early,office_worker,before_midnight,4,1362479
R00100,private_room,Q5,female,not_allowed,cats_only,medium,medium,occasionally,very_late,any,before_midnight,1,7173785
R00101,private_room,HBT,any,allowed,cats_only,medium,low,occasionally,normal,student,none,1,3228555
R00102,private_room,HD,male,not_allowed,not_allowed,medium,high,occasionally,late,student,before_11pm,1,3167787
R00103,private_room,NTL,male,not_allowed,allowed,high,medium,occasionally,normal,student,none,1,2387321
R00104,studio,NTL,any,not_allowed,small_pets_only,high,low,occasionally,normal,student,none,1,4440715
R00105,private_room,Q4,male,not_allowed,allowed,medium,medium,occasionally,late,any,none,1,4369045
R00106,shared_room,Q6,female,not_allowed,small_pets_only,high,low,rarely,early,any,before_11pm,2,1629485
R00107,shared_room,CC,female,not_allowed,small_pets_only,high,medium,rarely,early,student,none,2,604810
R00108,private_room,Q4,female,outside_only,not_allowed,low,low,occasionally,normal,student,before_midnight,1,4633608
R00109,private_room,GV,male,not_allowed,not_allowed,high,low,rarely,very_early,office_worker,none,1,2939977
R00110,private_room,BTL,female,not_allowed,small_pets_only,high,high,frequently,early,student,before_midnight,1,4561414
R00111,shared_room,Q11,any,not_allowed,allowed,medium,medium,rarely,late,student,none,2,1341899
R00112,studio,GV,any,allowed,cats_only,medium,high,frequently,early,student,none,1,2502582
R00113,shared_room,SS,female,not_allowed,allowed,medium,low,occasionally,normal,student,before_midnight,2,915325
R00114,private_room,NTL,female,not_allowed,not_allowed,medium,medium,rarely,very_late,any,none,1,3262429
R00115,shared_room,Q4,male,not_allowed,not_allowed,high,medium,occasionally,late,office_worker,before_11pm,2,1788343
R00116,shared_room,NTL,male,not_allowed,allowed,medium,medium,occasionally,normal,student,before_midnight,4,1791969
R00117,shared_room,CG,female,not_allowed,allowed,high,medium,rarely,very_early,any,none,4,1989254
R00118,shared_room,PN,any,not_allowed,not_allowed,high,medium,rarely,normal,any,none,4,2063920
R00119,shared_room,TX,any,outside_only,not_allowed,medium,low,rarely,late,student,before_11pm,2,808936
R00120,private_room,GV,female,allowed,not_allowed,medium,medium,occasionally,early,student,none,1,2993581
R00121,studio,Q3,any,allowed,small_pets_only,medium,low,rarely,early,student,before_midnight,2,6399750
R00122,studio,SS,any,not_allowed,not_allowed,medium,medium,frequently,early,any,none,1,3548420
R00123,private_room,TX,any,allowed,not_allowed,high,high,rarely,normal,student,before_midnight,1,6483505
R00124,shared_room,NTL,female,outside_only,not_allowed,high,high,rarely,late,student,before_11pm,3,1912171
R00125,private_room,Q11,female,not_allowed,not_allowed,high,low,rarely,late,student,none,1,2733030
R00126,private_room,BC,male,not_allowed,cats_only,medium,medium,rarely,early,student,none,1,2624435
R00127,private_room,TB,male,allowed,not_allowed,high,medium,rarely,early,student,none,1,6632842
R00128,private_room,SS,female,not_allowed,not_allowed,medium,low,occasionally,very_late,student,before_midnight,1,2673463
R00129,shared_room,BC,female,not_allowed,not_allowed,medium,medium,rarely,normal,any,none,3,710085
R00130,private_room,Q4,female,allowed,not_allowed,high,high,rarely,normal,student,none,1,3158894
R00131,studio,HM,any,allowed,not_allowed,medium,high,frequently,early,student,none,1,2438681
R00132,shared_room,HL,female,not_allowed,small_pets_only,high,high,rarely,early,any,before_midnight,4,1723716
R00133,private_room,SS,female,not_allowed,not_allowed,medium,high,rarely,normal,any,none,1,2260519
R00134,private_room,DA,male,outside_only,not_allowed,medium,medium,occasionally,normal,student,before_midnight,1,1627236
R00135,shared_room,TTR,any,not_allowed,not_allowed,medium,medium,rarely,normal,student,before_11pm,3,700986
R00136,shared_room,TP,any,not_allowed,not_allowed,high,medium,rarely,late,student,before_11pm,2,1551727
R00137,shared_room,Q5,female,outside_only,small_pets_only,medium,low,occasionally,very_early,student,before_midnight,2,865573
R00138,private_room,TB,male,not_allowed,not_allowed,high,low,rarely,early,student,before_11pm,1,3049980
R00139,shared_room,LB,female,not_allowed,not_allowed,high,high,rarely,early,student,none,2,941864
R00140,shared_room,CG,female,not_allowed,allowed,high,medium,rarely,early,office_worker,none,3,2181248
R00141,shared_room,Q12,any,not_allowed,allowed,high,low,occasionally,early,student,none,2,833880
R00142,private_room,PN,male,allowed,not_allowed,medium,low,occasionally,normal,student,none,1,4200383
R00143,private_room,HM,male,not_allowed,allowed,medium,low,frequently,normal,student,none,1,3951205
R00144,shared_room,PN,female,not_allowed,not_allowed,high,low,rarely,late,student,none,2,1023968
R00145,studio,Q4,any,not_allowed,not_allowed,high,low,occasionally,very_early,student,before_midnight,1,6650759
R00146,studio,LB,any,not_allowed,small_pets_only,low,low,rarely,late,any,before_midnight,2,6353213
R00147,private_room,GL,female,not_allowed,not_allowed,medium,low,occasionally,normal,student,none,1,3767877
R00148,private_room,TTR,male,allowed,cats_only,medium,low,frequently,very_early,student,before_11pm,1,1373154
R00149,studio,BTL,any,not_allowed,allowed,high,medium,frequently,normal,any,none,2,6554562
R00150,private_room,HBT,male,not_allowed,cats_only,high,medium,rarely,late,student,none,1,4721721
R00151,shared_room,Q8,any,outside_only,cats_only,high,low,rarely,late,student,before_midnight,4,1165882
R00152,shared_room,HL,any,not_allowed,not_allowed,high,medium,occasionally,late,any,before_11pm,2,1119482
R00153,shared_room,Q5,female,not_allowed,not_allowed,medium,low,rarely,normal,office_worker,none,3,1542015
R00154,private_room,Q12,male,outside_only,allowed,medium,high,rarely,early,student,none,1,3374339
R00155,shared_room,HM,female,outside_only,not_allowed,high,medium,rarely,very_early,student,none,3,1204874
R00156,shared_room,BD,male,allowed,small_pets_only,high,low,rarely,normal,office_worker,before_midnight,3,1526014
R00157,shared_room,BD,female,not_allowed,allowed,medium,medium,occasionally,normal,student,before_midnight,3,1201591
R00158,private_room,BD,female,not_allowed,small_pets_only,medium,low,occasionally,normal,student,before_midnight,1,3111446
R00159,studio,GV,any,not_allowed,not_allowed,high,low,occasionally,early,student,none,2,3375478
R00160,shared_room,TP,female,not_allowed,not_allowed,high,low,rarely,late,student,none,4,1676888
R00161,private_room,Q4,female,not_allowed,allowed,low,low,occasionally,normal,student,before_11pm,1,7263891
R00162,shared_room,Q3,female,not_allowed,small_pets_only,high,high,rarely,normal,office_worker,none,2,2136745
R00163,private_room,Q12,female,not_allowed,not_allowed,medium,low,rarely,late,student,none,1,2041528
R00164,studio,HBT,any,allowed,not_allowed,high,low,occasionally,normal,student,before_midnight,1,4941784
R00165,private_room,BD,female,not_allowed,small_pets_only,medium,high,rarely,normal,office_worker,before_11pm,1,6752510
R00166,shared_room,HM,male,not_allowed,allowed,medium,medium,rarely,normal,student,none,4,893944
R00167,shared_room,Q7,any,not_allowed,not_allowed,high,medium,occasionally,late,student,none,4,1817225
R00168,studio,BTL,any,not_allowed,not_allowed,medium,low,frequently,normal,student,before_11pm,2,4053671
R00169,private_room,HL,male,not_allowed,not_allowed,high,low,occasionally,normal,student,before_11pm,1,4493607
R00170,studio,TTR,any,not_allowed,small_pets_only,high,low,frequently,early,student,before_11pm,1,2299935
R00171,private_room,TX,male,allowed,not_allowed,medium,low,occasionally,normal,student,before_midnight,1,4658772
R00172,shared_room,BC,any,not_allowed,not_allowed,high,high,rarely,normal,student,none,2,937011
R00173,private_room,NTL,female,not_allowed,not_allowed,high,medium,rarely,normal,office_worker,none,1,6016868
R00174,private_room,DA,female,outside_only,cats_only,medium,medium,rarely,early,student,none,1,4387344
R00175,private_room,HL,male,not_allowed,allowed,medium,medium,rarely,very_late,student,before_11pm,1,2367811
R00176,private_room,Q1,male,not_allowed,not_allowed,medium,medium,occasionally,very_early,student,none,1,8086232
R00177,shared_room,TB,male,allowed,allowed,medium,medium,occasionally,late,student,before_11pm,4,1287314
