location_similarity,budget_similarity,smoking_match,pet_match,sleep_group_similarity,cleanliness_group_similarity,social_group_similarity,guest_group_similarity,sleep_similarity,cleanliness_similarity,social_similarity,guest_similarity,occupancy_ratio,target
0.5,0.6907,0.0,0.0,0.8,0.6,0.6,0.4,0.8,0.6,0.6,0.4,2.0,1
0.5,0.0,0.0,0.0,0.2,1.0,0.8,1.0,0.2,1.0,0.8,1.0,2.0,1
0.5,0.5317,0.0,0.0,0.2,0.8,0.4,0.2,0.2,0.8,0.4,0.2,3.0,1
0.5,0.481,0.0,0.0,0.8,0.8,0.8,1.0,0.8,0.8,0.8,1.0,3.0,1
0.5,0.8048,0.0,0.0,0.8,0.8,0.8,1.0,0.8,0.8,0.8,1.0,3.0,1
0.5,0.0,0.0,0.0,0.6,0.6,0.4,0.2,0.6,0.6,0.4,0.2,0.75,1
0.5,0.9728,0.0,0.0,0.6,0.8,0.8,1.0,0.6,0.8,0.8,1.0,0.75,1
0.5,0.0,0.0,0.0,1.0,0.6,1.0,0.8,1.0,0.6,1.0,0.8,0.75,1
0.5,0.0,0.0,0.0,1.0,0.6,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1
0.5,0.7035,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,1
0.5,0.0862,0.0,0.0,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,1.0,1
1.0,0.9252,0.0,0.0,0.2,0.8,1.0,1.0,0.2,0.8,1.0,1.0,1.0,1
0.5,0.8826,0.0,0.0,0.8,0.4,0.4,0.2,0.8,0.4,0.4,0.2,1.0,1
0.5,0.0,0.0,0.0,1.0,0.6,1.0,0.8,1.0,0.6,1.0,0.8,1.0,1
0.5,0.6535,0.0,0.0,0.6,0.6,0.8,1.0,0.6,0.6,0.8,1.0,1.0,1
0.5,0.7532,0.0,0.0,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.4,0.5,1
0.5,0.5439,0.0,0.0,0.8,0.4,0.6,0.4,0.8,0.4,0.6,0.4,0.5,1
